Alimento,Quantidade (g),Kcal,Carboidratos (g),Proteínas (g),Gorduras (g)
Arroz integral cozido,120.0,620.4,3.24,1.2,
Aveia flocos crua,35.0,576.8,3.1849999999999996,2.9749999999999996,
